N,AVLFindBest,AVLFindWorst,AVLFindAverage,BSTFindBest,BSTFindWorst,BSTFindAverage,AVLInsertBest,AVLInsertWorst,AVLInsertAverage,BSTInsertBest,BSTInsertWorst,BSTInsertAverage
44,1,17,11.5,1,17,10.090909090909092,2,450,200.45454545454547,0,400,162.72727272727272
45,1,17,11.577777777777778,1,17,10.2,2,464,206.3111111111111,0,414,168.3111111111111
46,1,17,11.652173913043478,1,17,10.347826086956522,2,478,212.2173913043478,0,430,174.0
47,1,17,11.680851063829786,1,17,10.319148936170214,2,490,218.12765957446808,0,438,179.61702127659575
48,1,17,11.708333333333334,1,17,10.375,2,504,224.08333333333334,0,450,185.25
49,1,17,11.816326530612244,1,17,10.428571428571429,2,518,230.08163265306123,0,462,190.89795918367346
50,1,17,11.92,1,17,10.52,2,532,236.12,0,476,196.6
51,1,17,12.019607843137255,1,17,10.490196078431373,2,544,242.15686274509804,0,484,202.23529411764707
52,1,17,11.884615384615385,1,17,10.5,2,558,248.23076923076923,0,494,207.84615384615384
53,1,17,11.79245283018868,1,19,10.660377358490566,2,572,254.33962264150944,0,512,213.58490566037736
54,1,17,11.777777777777779,1,21,10.851851851851851,2,586,260.48148148148147,0,532,219.4814814814815
55,1,17,11.836363636363636,1,21,10.854545454545455,2,600,266.6545454545454,0,542,225.34545454545454
56,1,17,11.857142857142858,1,21,10.892857142857142,2,614,272.85714285714283,0,554,231.21428571428572
57,1,17,11.912280701754385,1,21,10.964912280701755,2,628,279.0877192982456,0,568,237.12280701754386
58,1,17,11.96551724137931,1,21,11.03448275862069,2,642,285.3448275862069,0,582,243.06896551724137
59,1,17,11.94915254237288,1,21,11.033898305084746,2,656,291.6271186440678,0,592,248.98305084745763
60,1,17,12.033333333333333,1,21,11.1,2,670,297.93333333333334,0,606,254.93333333333334
61,1,17,12.081967213114755,1,21,11.19672131147541,2,684,304.26229508196724,0,622,260.95081967213116
62,1,17,12.096774193548388,1,21,11.258064516129032,2,698,310.61290322580646,0,636,267.0
63,1,19,12.206349206349206,1,21,11.380952380952381,2,712,316.984126984127,0,654,273.14285714285717
